artist_name,track_title,track_key,url_has_any,paid_has_any,direct_has_any,bandcamp_url,discogs_url,spotify_url,soundcloud_url,apple_music_url,youtube_url,other_url,weathervane_url,mix_rescue_url
Iain Kerr & Friends,Can't Play The Blues,Iain Kerr & Friends - Can't Play The Blues,1,1,0,,,,,,,,,
Iain Kerr & Friends,Dreaming 'Bout Being With You,Iain Kerr & Friends - Dreaming 'Bout Being With You,1,1,0,,,,,,,,,
Iain Kerr & Friends,I Dont Need That Doctor,Iain Kerr & Friends - I Dont Need That Doctor,1,1,0,,,,,,,,,
Iain Kerr & Friends,I Need Your Sunshine,,1,1,0,,,,,,,,,
Iain Kerr & Friends,It Was Only Ever You,Iain Kerr & Friends - It Was Only Ever You,1,1,0,,,,,,,,,
Iain Kerr & Friends,Still Wont Get Me To Cry,,1,1,0,,,,,,,,,
James Graydon,Our Love,James Graydon - Our Love,1,1,0,,,,,,,,,
Juniper,All I Want,Juniper - All I Want,1,1,0,,,,,,,,,
Juniper,God Knows,Juniper - God Knows,1,1,0,,,,,,,,,
Juniper,Nexus,Juniper - Nexus,1,1,0,,,,,,,,,
Juniper,Nice To Be Home,Juniper - Nice To Be Home,1,1,0,,,,,,,,,
Juniper,Triangles,Juniper - Triangles,1,1,0,,,,,,,,,
Juniper,Utopia,Juniper - Utopia,1,1,0,,,,,,,,,
Kuehnel,You,,1,1,0,,,,,,,,,
Liquid Biscuit,Into The Well,Liquid Biscuit - Into The Well,1,1,0,,,,,,,,,
Lodestone,Standin' On My Own Two Feet,Lodestone - Standin' On My Own Two Feet,1,1,0,,,,,,,,,
Mansa Musa,Sightseers,Mansa Musa - Sightseers,1,1,0,,,,,,,,,
Modified Freq,Camera,Modified Freq - Camera,1,1,0,,,,,,,,,
Modified Freq,Demise Of Bruno,Modified Freq - Demise Of Bruno,1,1,0,,,,,,,,,
Modified Freq,Fire,Modified Freq - Fire,1,1,0,,,,,,,,,
Modified Freq,Real,Modified Freq - Real,1,1,0,,,,,,,,,
Modified Freq,Sunspot,,1,1,0,,,,,,,,,
Modified Freq,Take You Away,,1,1,0,,,,,,,,,
Oberheads,Horizon,Oberheads - Horizon,1,1,0,,,,,,,,,
Oberheads,King Of Horror,Oberheads - King Of Horror,1,1,0,,,,,,,,,
PaletteFace,Back In The Middle,PaletteFace - Back In The Middle,1,1,0,,,,,,,,,
PaletteFace,Mr Know It All,PaletteFace - Mr Know It All,1,1,0,,,,,,,,,
PaletteFace,Snake Eyes,,1,1,0,,,,,,,,,
ProRata,Broken,ProRata - Broken,1,1,0,,,,,,,,,
ProRata,Fight The Feeling,,1,1,0,,,,,,,,,
Ritual Slaughter,Chaos Engine,,1,1,0,,,,,,,,,
Ritual Slaughter,Dragons,Ritual Slaughter - Dragons,1,1,0,,,,,,,,,
Ritual Slaughter,Hypersleep,Ritual Slaughter - Hypersleep,1,1,0,,,,,,,,,
Ritual Slaughter,Neptunus,,1,1,0,,,,,,,,,
Ritual Slaughter,Resistance,Ritual Slaughter - Resistance,1,1,0,,,,,,,,,
Ritual Slaughter,Stand Up,,1,1,0,,,,,,,,,
Rivum,Crazy,,1,1,0,,,,,,,,,
Rivum,Feel Low,,1,1,0,,,,,,,,,
Rivum,Go Quiet,Rivum - Go Quiet,1,1,0,,,,,,,,,
Rivum,GOD Soulja,Rivum - GOD Soulja,1,1,0,,,,,,,,,
Rivum,Hating On Me,,1,1,0,,,,,,,,,
Rivum,Never Gonna Stop,Rivum - Never Gonna Stop,1,1,0,,,,,,,,,
Rivum,U Do U,,1,1,0,,,,,,,,,
Skipsam Soo,Auld Lang Syne,,1,1,0,,,,,,,,,
Skipsam Soo,Away In A Manger,,1,1,0,,,,,,,,,
Skipsam Soo,God Rest Ye Merry Gentlemen,Skipsam Soo - God Rest Ye Merry Gentlemen,1,1,0,,,,,,,,,
Skipsam Soo,Good King Wenceslas,Skipsam Soo - Good King Wenceslas,1,1,0,,,,,,,,,
Skipsam Soo,Hark The Herald Angels Sing,Skipsam Soo - Hark The Herald Angels Sing,1,1,0,,,,,,,,,
Skipsam Soo,Joy To The World,Skipsam Soo - Joy To The World,1,1,0,,,,,,,,,
Skipsam Soo,O Come All Ye Faithful,,1,1,0,,,,,,,,,
Skipsam Soo,The First Noel,,1,1,0,,,,,,,,,
Skipsam Soo,We Wish You A Merry Christmas,Skipsam Soo - We Wish You A Merry Christmas,1,1,0,,,,,,,,,
Sour Cherry,Embarrassment,Sour Cherry - Embarrassment,1,1,0,,,,,,,,,
Sour Cherry,Snow Queen,,1,1,0,,,,,,,,,
Strugzy,Reach Out,Strugzy - Reach Out,1,1,0,,,,,,,,,
Strugzy,RW,Strugzy - RW,1,1,0,,,,,,,,,
Strugzy ft. Mr Peabody,Be OK,Strugzy ft. Mr Peabody - Be OK,1,1,0,,,,,,,,,
Sunny Side Up,"1,2,3,4,5,6 Pick Up Sticks",,,,,,,,,,,,,
Sunny SIde Up,A Tisket a Tasket,Sunny SIde Up - A Tisket a Tasket,1,1,0,,,,,,,,,
Sunny SIde Up,Boys & Girls Come Out To Play,Sunny SIde Up - Boys & Girls Come Out To Play,1,1,0,,,,,,,,,
Sunny SIde Up,Diddle Dumpling My Son John,,1,1,0,,,,,,,,,
Sunny SIde Up,Ding Dong Bell,Sunny SIde Up - Ding Dong Bell,1,1,0,,,,,,,,,
Sunny SIde Up,Five Little Ducks,Sunny SIde Up - Five Little Ducks,1,1,0,,,,,,,,,
Sunny SIde Up,Here We Go Loopty Loo,,1,1,0,,,,,,,,,
Sunny SIde Up,I Had A Little Pony,,1,1,0,,,,,,,,,
Sunny SIde Up,Jack In The Box,Sunny SIde Up - Jack In The Box,0,0,0,,,,,,,,,
Sunny SIde Up,"Ladybid Ladybird, Fly Away Home","Sunny SIde Up - Ladybid Ladybird, Fly Away Home",1,1,0,,,,,,,,,
Sunny SIde Up,Little Boy Blue,Sunny SIde Up - Little Boy Blue,1,1,0,,,,,,,,,
Sunny SIde Up,Little Tommy Tucker,Sunny SIde Up - Little Tommy Tucker,1,1,0,,,,,,,,,
Sunny SIde Up,Nine In A Bed,Sunny SIde Up - Nine In A Bed,1,1,0,,,,,,,,,
Sunny SIde Up,Old Mother Hubbard,Sunny SIde Up - Old Mother Hubbard,1,1,0,,,,,,,,,
Sunny SIde Up,Over The Hills & Far Away,#REF!,1,1,0,,,,,,,,,
Sunny Side Up,Ring A Roses,Sunny Side Up - Ring A Roses,1,1,0,,,,,,,,,
Sunny SIde Up,Rock A Bye Baby,Sunny SIde Up - Rock A Bye Baby,1,1,0,,,,,,,,,
Sunny SIde Up,The Man In The Moon,Sunny SIde Up - The Man In The Moon,1,1,0,,,,,,,,,
Sunny SIde Up,Three Little Kittens,,0,0,0,,,,,,,,,
Sunny SIde Up,Two Little Dickie Birds,Sunny SIde Up - Two Little Dickie Birds,1,1,0,,,,,,,,,
The Followers,Hand Drawn,The Followers - Hand Drawn,1,1,0,,,,,,,,,
The Followers,Hold Me,,1,1,0,,,,,,,,,
The Followers,Kryptonite,The Followers - Kryptonite,1,1,0,,,,,,,,,
The Followers,Long Live Rock And Roll,,1,1,0,,,,,,,,,
The Followers,Radio,The Followers - Radio,1,1,0,,,,,,,,,
The Followers,Silver Screen,,1,1,0,,,,,,,,,
The Followers,Thriller,,1,1,0,,,,,,,,,
The Followers,Try Anything,The Followers - Try Anything,1,1,0,,,,,,,,,
The Tainted,Sleep is Easier,The Tainted - Sleep is Easier,1,1,0,,,,,,,,,
The Unfortunates,Beserker,The Unfortunates - Beserker,1,1,0,,,,,,,,,
The Unfortunates,Casual Users,,1,1,0,,,,,,,,,
The Unfortunates,Cleaner,,1,1,0,,,,,,,,,
The Unfortunates,Everything Ends,The Unfortunates - Everything Ends,1,1,0,,,,,,,,,
The Unfortunates,False Black Bear,,1,1,0,,,,,,,,,
The Unfortunates,Seattle,,1,1,0,,,,,,,,,
Topsoil,Paranoid Filter,,1,1,0,,,,,,,,,
Topsoil,Porridge,Topsoil - Porridge,1,1,0,,,,,,,,,
Vinegar Stroke,Athazagora,Vinegar Stroke - Athazagora,1,1,0,,,,,,,,,
Vinegar Stroke,I Gave You Power,Vinegar Stroke - I Gave You Power,1,1,0,,,,,,,,,
Vinegar Stroke,Killing Science,,1,1,0,,,,,,,,,
Vinegar Stroke,Robs Song,Vinegar Stroke - Robs Song,1,1,0,,,,,,,,,
Vinegar Stroke,Spicy,Vinegar Stroke - Spicy,1,1,0,,,,,,,,,
Vinegar Stroke,"Stand Down, Stand Down",,,,,,,,,,,,,
Violet Sun,Breed,Violet Sun - Breed,1,1,0,,,,,,,,,
Violet Sun,Lost,Violet Sun - Lost,1,1,0,,,,,,,,,
Virtual Tongues,Myeloma,,1,1,0,,,,,,,,,
Virtual Tongues,Pontiac,Virtual Tongues - Pontiac,1,1,0,,,,,,,,,
